Date,Time,Open,High,Low,Close,Volume,Openint
2026-05-08,11:33:00,77434.12,77434.12,77309.18,77315.65
2026-05-08,11:36:00,77314.1,77330.74,77288.1,77330.74
2026-05-08,11:39:00,77330.74,77336.12,77301.43,77323.36
2026-05-08,11:42:00,77326.75,77354.6,77317.38,77344.61
2026-05-08,11:45:00,77341.18,77342.32,77297.38,77334.6
2026-05-08,11:48:00,77338.99,77338.99,77328.16,77332.1
2026-05-08,11:51:00,77332.1,77332.28,77329.5,77330.32
2026-05-08,11:54:00,77330.32,77330.32,77323.08,77323.99
2026-05-08,11:57:00,77323.99,77324.51,77323.76,77323.76
2026-05-11,05:42:00,76638.09,76638.09,76638.09,76638.09
2026-05-11,05:48:00,76424.1,76560.71,76424.1,76453.26
2026-05-11,05:51:00,76452.92,76454.55,76367.91,76405.34
2026-05-11,05:54:00,76391.87,76414.87,76368.26,76406.42
2026-05-11,05:57:00,76412.88,76493.98,76408.76,76430.38
2026-05-11,06:00:00,76435.95,76535.31,76435.95,76535.31
2026-05-11,06:03:00,76528.9,76556.1,76510.82,76510.82
2026-05-11,06:06:00,76516.51,76516.51,76408.88,76415.36
2026-05-11,06:09:00,76413.21,76415.9,76328.98,76328.98
2026-05-11,06:12:00,76326.07,76342.49,76258.63,76307.92
2026-05-11,06:15:00,76314.74,76356.32,76239.79,76244.46
2026-05-11,06:18:00,76243.88,76306.37,76243.87,76305.9
2026-05-11,06:21:00,76312.08,76321.4,76272.75,76290.35
2026-05-11,06:24:00,76292.99,76296.39,76262.15,76287.73
2026-05-11,06:27:00,76291.57,76347.98,76261.55,76264.69
2026-05-11,06:30:00,76263.55,76297.72,76246.26,76257.73
2026-05-11,06:33:00,76260.61,76304.04,76260.61,76298.66
2026-05-11,06:36:00,76292.57,76322.77,76292.57,76317.16
2026-05-11,06:39:00,76315.36,76333.73,76298.15,76316.26
2026-05-11,06:42:00,76327.21,76352.49,76311.68,76331.46
2026-05-11,06:45:00,76317.25,76336.41,76299.24,76314.1
2026-05-11,06:48:00,76317.51,76320.52,76254.06,76254.06
2026-05-11,06:51:00,76257.27,76258.28,76168.4,76184.12
2026-05-11,06:54:00,76185.06,76262.07,76182.61,76239.85
2026-05-11,06:57:00,76236.44,76262.09,76230.77,76258.92
2026-05-11,07:00:00,76257.37,76264.63,76227.52,76239.27
2026-05-11,07:03:00,76238.88,76254.32,76215.77,76232.94
2026-05-11,07:06:00,76231.04,76268.2,76223.48,76261.31
2026-05-11,07:09:00,76264.39,76264.39,76210.5,76210.5
2026-05-11,07:12:00,76215.03,76244.5,76185.06,76243.33
2026-05-11,07:15:00,76239.65,76239.65,76205.79,76232.87
2026-05-11,07:18:00,76229.67,76241.04,76202.03,76227.29
2026-05-11,07:21:00,76224.69,76243.19,76199.87,76237.73
2026-05-11,07:24:00,76238.15,76286.99,76233.04,76286.99
2026-05-11,07:27:00,76281.85,76327.94,76281.85,76304.01
2026-05-11,07:30:00,76301.32,76321.29,76301.19,76312.1
2026-05-11,07:33:00,76300.14,76324.12,76296.5,76296.5
2026-05-11,07:36:00,76291.2,76341.92,76281.68,76332.76
2026-05-11,07:39:00,76332.76,76368.42,76326.74,76337.37
2026-05-11,07:42:00,76333.12,76398.45,76333.12,76398.45
2026-05-11,07:45:00,76403.84,76414.08,76386.61,76398.06
2026-05-11,07:48:00,76396.82,76419.17,76393.87,76407.36
2026-05-11,07:51:00,76406.79,76466.08,76385.37,76465.96
2026-05-11,07:54:00,76467.91,76485.66,76447.91,76469.62
2026-05-11,07:57:00,76462.71,76468.02,76421.72,76422.88
2026-05-11,08:00:00,76414.97,76439.05,76388.6,76437.83
2026-05-11,08:03:00,76433.04,76433.04,76368.15,76412.91
2026-05-11,08:06:00,76400.52,76433.69,76386.82,76428.52
2026-05-11,08:09:00,76437.34,76437.59,76396.63,76396.63
2026-05-11,08:12:00,76398.79,76498.21,76398.79,76498.08
2026-05-11,08:15:00,76497.2,76508.77,76491.35,76500.66
2026-05-11,08:18:00,76499.13,76526.84,76432.89,76433.12
2026-05-11,08:21:00,76433.81,76438.65,76400.93,76419.17
2026-05-11,08:24:00,76421.12,76461.35,76415.28,76454.9
2026-05-11,08:27:00,76452.76,76465.14,76430.84,76437.63
2026-05-11,08:30:00,76432.14,76436.69,76416.01,76431.93
2026-05-11,08:33:00,76433.34,76444.13,76420.36,76434.4
2026-05-11,08:36:00,76435.3,76448.24,76407.37,76433.72
2026-05-11,08:39:00,76433.02,76459.08,76422.92,76453.33
2026-05-11,08:42:00,76454.9,76474.25,76441.74,76443.56
2026-05-11,08:45:00,76435.35,76443.49,76422.72,76434.51
2026-05-11,08:48:00,76436.24,76453.19,76412.32,76418.11
2026-05-11,08:51:00,76417.67,76450.52,76417.67,76427.08
2026-05-11,08:54:00,76426.92,76452.68,76418.81,76452.68
2026-05-11,08:57:00,76455.12,76464.78,76445.39,76446.17
2026-05-11,09:00:00,76444.46,76445.22,76411.83,76418.51
2026-05-11,09:03:00,76417.4,76418.82,76356.4,76360.01
2026-05-11,09:06:00,76356.59,76406.96,76356.15,76398.07
2026-05-11,09:09:00,76392.16,76417.2,76334.47,76334.47
2026-05-11,09:12:00,76333.15,76396.28,76327.62,76388.33
